date_mutation;valeur_fonciere;code_postal;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;surface_terrain;latitude;longitude
31/01/2019;1493350;75008;2;Appartement;130;5;;48.873615;2.322213
17/01/2019;480000;75008;3;Dependance;;0;;48.872288;2.307635
17/01/2019;480000;75008;2;Appartement;47;2;;48.872288;2.307635
02/02/2019;500000;75008;2;Appartement;82;4;;48.881198;2.32563
04/02/2019;1314518;75008;3;Dependance;;0;;48.879585;2.315208
04/02/2019;1314518;75008;2;Appartement;133;6;;48.879585;2.315208
04/02/2019;1314518;75008;3;Dependance;;0;;48.879585;2.315208
15/01/2019;4150000;75001;4;Local_indu_com_ou_assimile;65;0;;48.867713;2.32488
14/01/2019;272450;75003;4;Local_indu_com_ou_assimile;240;0;;48.868451;2.354524
08/01/2019;340000;75008;2;Appartement;29;2;;48.876718;2.303313
31/01/2019;320000;75001;4;Local_indu_com_ou_assimile;25;0;;48.865335;2.328997
01/02/2019;274285;75001;2;Appartement;20;2;;48.865314;2.335753
25/01/2019;2700000;75008;2;Appartement;190;6;;48.866978;2.303304
25/01/2019;4100000;75008;2;Appartement;246;3;;48.87091;2.31397
25/01/2019;4100000;75008;2;Appartement;24;1;;48.87091;2.31397
25/01/2019;4100000;75008;2;Appartement;75;2;;48.87091;2.31397
24/01/2019;139986;75003;2;Appartement;26;2;;48.863726;2.355583
30/01/2019;610000;75008;2;Appartement;70;2;;48.873186;2.302787
16/01/2019;14500;75008;3;Dependance;;0;;48.881157;2.317791
16/01/2019;14500;75008;3;Dependance;;0;;48.881157;2.317791
16/01/2019;14500;75008;3;Dependance;;0;;48.881157;2.317791
21/01/2019;4525500;75003;3;Dependance;;0;;48.860397;2.36367
21/01/2019;4525500;75003;2;Appartement;32;2;;48.860397;2.36367
21/01/2019;4525500;75003;2;Appartement;44;2;;48.860397;2.36367
21/01/2019;4525500;75003;3;Dependance;;0;;48.860397;2.36367
21/01/2019;4525500;75003;2;Appartement;149;5;;48.860397;2.36367
11/01/2019;2643500;75008;3;Dependance;;0;;48.87945;2.324251
11/01/2019;2643500;75008;3;Dependance;;0;;48.87945;2.324251
11/01/2019;2643500;75008;2;Appartement;230;6;;48.87945;2.324251
25/01/2019;51500000;75003;;;;;1383;48.862446;2.358118
07/01/2019;190000;75003;4;Local_indu_com_ou_assimile;19;0;;48.867907;2.356977
31/01/2019;300000;75008;4;Local_indu_com_ou_assimile;17;0;;48.874026;2.314715
25/01/2019;45000;75008;3;Dependance;;0;;48.876632;2.321694
15/01/2019;5000000;75008;4;Local_indu_com_ou_assimile;346;0;;48.876448;2.320549
07/01/2019;563630;75008;2;Appartement;45;2;;48.882558;2.324827
31/01/2019;415000;75001;2;Appartement;49;2;;48.859539;2.347505
04/02/2019;100000;75008;3;Dependance;;0;;48.872064;2.304326
23/01/2019;342800;75001;2;Appartement;26;2;;48.861153;2.342762
23/01/2019;178000;75003;2;Appartement;45;1;;48.861423;2.362689
30/01/2019;211200;75001;2;Appartement;20;1;;48.860276;2.348588
28/01/2019;450000;75003;4;Local_indu_com_ou_assimile;11;0;;48.859318;2.364855
28/01/2019;450000;75003;4;Local_indu_com_ou_assimile;75;0;;48.859318;2.364855
24/01/2019;39000;75008;3;Dependance;;0;;48.874098;2.305499
23/01/2019;320550;75003;2;Appartement;109;4;;48.861248;2.364436
06/02/2019;107620;75008;3;Dependance;;0;;48.879338;2.321637
06/02/2019;107620;75008;3;Dependance;;0;;48.879338;2.321637
11/01/2019;360000;75001;2;Appartement;72;3;;48.86532;2.336869
11/01/2019;360000;75001;2;Appartement;24;2;;48.86532;2.336869
15/01/2019;193000;75003;2;Appartement;22;1;;48.867704;2.36122
17/01/2019;365000;75003;2;Appartement;38;2;;48.861234;2.35419
31/01/2019;847620;75008;2;Appartement;75;3;;48.882182;2.322163
31/01/2019;294800;75008;3;Dependance;;0;;48.871803;2.311651
06/02/2019;2300000;75008;3;Dependance;;0;;48.874682;2.299088
06/02/2019;2300000;75008;2;Appartement;210;7;;48.874682;2.299088
06/02/2019;2300000;75008;3;Dependance;;0;;48.874682;2.299088
05/02/2019;1220000;75008;3;Dependance;;0;;48.880844;2.318651
05/02/2019;1220000;75008;2;Appartement;101;4;;48.880844;2.318651
31/01/2019;1050000;75008;2;Appartement;57;3;;48.874606;2.325592
31/01/2019;1050000;75008;2;Appartement;92;4;;48.874606;2.325592
25/01/2019;230000;75001;2;Appartement;35;2;;48.864847;2.33597
25/01/2019;33000;75001;3;Dependance;;0;;48.862639;2.348873
10/01/2019;250000;75003;2;Appartement;23;1;;48.867701;2.355672
17/01/2019;3000;75003;3;Dependance;;0;;48.863299;2.365982
30/01/2019;1000;75003;3;Dependance;;0;;48.863299;2.365982
17/01/2019;2000;75003;3;Dependance;;0;;48.863299;2.365982
29/01/2019;2500;75003;3;Dependance;;0;;48.863299;2.365982
04/02/2019;308000;75001;2;Appartement;25;1;;48.8626;2.340524
14/01/2019;174000;75008;2;Appartement;9;1;;48.881194;2.326363
22/01/2019;224000;75003;4;Local_indu_com_ou_assimile;17;0;;48.863632;2.364178
22/01/2019;224000;75003;4;Local_indu_com_ou_assimile;84;0;;48.863632;2.364178
01/02/2019;572675;75008;2;Appartement;39;2;;48.8769;2.318566
07/02/2019;724000;75003;2;Appartement;68;2;;48.863303;2.353646
06/02/2019;2000;75003;3;Dependance;;0;;48.859395;2.363957
06/02/2019;129500;75003;2;Appartement;7;1;;48.859395;2.363957
28/01/2019;130000;75001;2;Appartement;14;1;;48.860081;2.346907
15/01/2019;300000;75003;2;Appartement;27;3;;48.859899;2.363453
25/01/2019;280000;75003;2;Appartement;38;3;;48.864069;2.358455
28/01/2019;32000;75001;3;Dependance;;0;;48.858889;2.344428
29/01/2019;120000;75008;2;Appartement;15;1;;48.878284;2.301569
01/02/2019;771400;75003;2;Appartement;48;2;;48.859865;2.364245
29/01/2019;250000;75008;2;Appartement;28;1;;48.880423;2.32172
01/02/2019;110000;75001;2;Appartement;11;1;;48.862894;2.340887
30/01/2019;278000;75008;4;Local_indu_com_ou_assimile;30;0;;48.878747;2.302462
06/02/2019;370000;75008;2;Appartement;30;1;;48.876617;2.302924
08/02/2019;1680000;75003;2;Appartement;88;4;;48.857154;2.364713
01/02/2019;1786330;75008;2;Appartement;112;3;;48.870935;2.310514
01/02/2019;1786330;75008;3;Dependance;;0;;48.870935;2.310514
24/01/2019;600000;75003;4;Local_indu_com_ou_assimile;25;0;;48.862527;2.363548
24/01/2019;600000;75003;4;Local_indu_com_ou_assimile;73;0;;48.862527;2.363548
06/02/2019;380000;75001;2;Appartement;28;3;;48.86015;2.345676
18/01/2019;513600;75008;2;Appartement;46;2;;48.876046;2.321493
31/01/2019;45000;75003;3;Dependance;;0;;48.860305;2.363076
12/02/2019;1200000;75001;2;Appartement;101;3;;48.863943;2.340674
21/01/2019;;75001;2;Appartement;24;1;424;48.862541;2.341063
21/01/2019;;75001;4;Local_indu_com_ou_assimile;212;0;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;16;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;25;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;16;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;25;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;24;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;25;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;29;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;23;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;25;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;20;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;26;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;25;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;25;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;21;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;28;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;16;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;33;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;26;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;28;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;21;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;25;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;20;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;26;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;16;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;22;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;26;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;21;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;20;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;21;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;25;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;16;1;424;48.862541;2.341063
