valeur_fonciere,code_postal,type_local,surface,nombre_pieces_principales,month,year
1260000,78200,6,549,4,1,2019
1260000,78200,6,549,4,5,2020
15000,75001,3,1272,7,1,2019
15000,75001,3,1272,7,5,2020
258500,78660,1,92,5,1,2019
258500,78660,1,92,5,5,2020
85000,75001,0,1272,1,1,2019
85000,75001,0,1272,1,5,2020
550000,75015,0,42,2,1,2019
550000,75015,0,42,2,5,2020
735000,75003,0,1272,2,1,2019
735000,75003,0,1272,2,5,2020
585000,91410,1,190,8,1,2019
585000,91410,1,190,8,5,2020
159000,75008,2,1272,7,1,2019
159000,75008,2,1272,7,5,2020
253000,78610,1,102,5,1,2019
253000,78610,1,102,5,5,2020
159000,75008,0,1272,1,1,2019
159000,75008,0,1272,1,5,2020
650000,78610,1,179,5,1,2019
650000,78610,1,179,5,5,2020
195000,75008,0,1272,1,1,2019
195000,75008,0,1272,1,5,2020
259000,78660,1,94,4,1,2019
259000,78660,1,94,4,5,2020
3000000,75003,3,1272,7,1,2019
3000000,75003,3,1272,7,5,2020
269000,91250,1,90,4,1,2019
269000,91250,1,90,4,5,2020
3000000,75003,0,1272,2,1,2019
3000000,75003,0,1272,2,5,2020
295000,91250,1,89,5,1,2019
295000,91250,1,89,5,5,2020
1548050,75003,0,1272,4,1,2019
1548050,75003,0,1272,4,5,2020
280000,77760,1,210,4,1,2019
280000,77760,1,210,4,5,2020
404500,78580,1,139,6,1,2019
404500,78580,1,139,6,5,2020
175000,75003,0,1272,1,1,2019
175000,75003,0,1272,1,5,2020
455000,92110,0,73,3,1,2019
455000,92110,0,73,3,5,2020
1740000,75008,2,1272,7,1,2019
1740000,75008,2,1272,7,5,2020
775000,75003,0,53,3,1,2019
775000,75003,0,53,3,5,2020
1740000,75008,0,1272,6,1,2019
1740000,75008,0,1272,6,5,2020
720000,75010,0,67,3,1,2019
720000,75010,0,67,3,5,2020
253800,75003,0,1272,1,1,2019
253800,75003,0,1272,1,5,2020
258000,93200,0,90,4,1,2019
258000,93200,0,90,4,5,2020
1650000,75003,0,1272,2,1,2019
1650000,75003,0,1272,2,5,2020
274000,78660,1,185,7,1,2019
274000,78660,1,185,7,5,2020
1570000,75008,0,1272,4,1,2019
1570000,75008,0,1272,4,5,2020
311000,78660,1,140,6,1,2019
311000,78660,1,140,6,5,2020
724500,75003,2,1272,7,1,2019
724500,75003,2,1272,7,5,2020
477000,78660,1,204,8,1,2019
477000,78660,1,204,8,5,2020
724500,75003,0,1272,2,1,2019
724500,75003,0,1272,2,5,2020
436800,91250,1,117,6,1,2019
436800,91250,1,117,6,5,2020
477000,78730,1,204,8,1,2019
477000,78730,1,204,8,5,2020
724500,75003,0,1272,5,1,2019
724500,75003,0,1272,5,5,2020
470000,78680,1,280,20,1,2019
470000,78680,1,280,20,5,2020
259000,77230,1,86,4,1,2019
259000,77230,1,86,4,5,2020
750000,75003,3,1272,7,1,2019
750000,75003,3,1272,7,5,2020
311000,78120,1,140,6,1,2019
311000,78120,1,140,6,5,2020
10000,75003,3,1272,7,1,2019
10000,75003,3,1272,7,5,2020
300000,77760,1,189,8,1,2019
300000,77760,1,189,8,5,2020
853370,75001,0,1272,2,1,2019
853370,75001,0,1272,2,5,2020
315000,78660,1,150,7,1,2019
315000,78660,1,150,7,5,2020
275000,75008,0,1272,2,1,2019
275000,75008,0,1272,2,5,2020
20000,92700,4,12,4,1,2019
20000,92700,4,12,4,5,2020
455000,75003,0,1272,1,1,2019
455000,75003,0,1272,1,5,2020
373000,78120,1,170,6,1,2019
373000,78120,1,170,6,5,2020
300000,75001,0,1272,1,1,2019
300000,75001,0,1272,1,5,2020
662500,92130,0,73,3,1,2019
662500,92130,0,73,3,5,2020
235000,75003,0,1272,1,1,2019
235000,75003,0,1272,1,5,2020
477000,78120,1,204,8,1,2019
477000,78120,1,204,8,5,2020
590000,75008,0,1272,3,1,2019
590000,75008,0,1272,3,5,2020
498000,94410,0,72,3,1,2019
498000,94410,0,72,3,5,2020
312500,75003,0,1272,2,1,2019
312500,75003,0,1272,2,5,2020
339000,77200,1,95,4,1,2019
339000,77200,1,95,4,5,2020
820000,75003,0,1272,2,1,2019
820000,75003,0,1272,2,5,2020
233000,75003,0,1272,1,1,2019
233000,75003,0,1272,1,5,2020
373000,78660,1,170,6,1,2019
373000,78660,1,170,6,5,2020
449050,75003,3,1272,7,1,2019
449050,75003,3,1272,7,5,2020
599000,92600,0,71,4,1,2019
599000,92600,0,71,4,5,2020
1500,75008,3,1272,7,1,2019
1500,75008,3,1272,7,5,2020
420000,92600,0,64,3,1,2019
420000,92600,0,64,3,5,2020
1661000,75008,0,1272,4,1,2019
1661000,75008,0,1272,4,5,2020
422000,78500,0,86,4,1,2019
422000,78500,0,86,4,5,2020
1661000,75008,3,1272,7,1,2019
1661000,75008,3,1272,7,5,2020
409000,91480,1,120,5,1,2019
409000,91480,1,120,5,5,2020
37500,75008,3,1272,7,1,2019
37500,75008,3,1272,7,5,2020
647000,92150,0,75,4,1,2019
647000,92150,0,75,4,5,2020
350000,75003,0,1272,2,1,2019
350000,75003,0,1272,2,5,2020
735000,92240,1,82,4,1,2019
735000,92240,1,82,4,5,2020
1050000,75001,0,1272,2,1,2019
1050000,75001,0,1272,2,5,2020
400000,94140,0,86,3,1,2019
400000,94140,0,86,3,5,2020
1190000,75011,0,97,5,1,2019
1190000,75011,0,97,5,5,2020
570000,75008,0,1272,2,1,2019
570000,75008,0,1272,2,5,2020
242000,94120,0,45,2,1,2019
242000,94120,0,45,2,5,2020
24000,75008,2,1272,7,1,2019
24000,75008,2,1272,7,5,2020
214000,93360,0,58,3,1,2019
214000,93360,0,58,3,5,2020
100000,75008,0,1272,1,1,2019
100000,75008,0,1272,1,5,2020
300800,75008,0,1272,2,1,2019
300800,75008,0,1272,2,5,2020
384000,78520,1,190,9,1,2019
384000,78520,1,190,9,5,2020
1160000,75008,0,1272,4,1,2019
1160000,75008,0,1272,4,5,2020
980,78310,4,15,1,1,2019
980,78310,4,15,1,5,2020
1290000,75008,2,1272,7,1,2019
1290000,75008,2,1272,7,5,2020
639000,75011,0,56,3,1,2019
639000,75011,0,56,3,5,2020
1290000,75008,0,1272,3,1,2019
1290000,75008,0,1272,3,5,2020
190000,78560,0,42,2,1,2019
190000,78560,0,42,2,5,2020
590000,75003,0,1272,3,1,2019
590000,75003,0,1272,3,5,2020
229000,77176,0,53,3,1,2019
229000,77176,0,53,3,5,2020
1071100,75003,0,1272,2,1,2019
1071100,75003,0,1272,2,5,2020
609000,78530,0,83,3,1,2019
